# ----------------------------------------
# Pages and screens: Page path and screen class
# Account: dc.gov
# Property: dcgov GA4
# ----------------------------------------
# 
# Hostname exactly matches dhcf.dc.gov
# Start date: 20250916
# End date: 20251216
Page title and screen class,Page path and screen class,Views,Active users,Views per active user,Average engagement time per active user,Event count,Key events,Total revenue
DHCF For Our Providers - Public Notices Archive | dhcf,/page/dhcf-our-providers-public-notices-archive,61,55,1.1090909090909091,17.09090909090909,170,0,0
Page not found | dhcf,/sites/default/files/dc/sites/dhcf/release_content/attachments/Policy,61,22,2.772727272727273,3.5454545454545454,107,0,0
Maternal Health Projects | dhcf,/publication/maternal-health-projects,60,36,1.6666666666666667,51.72222222222222,186,0,0
Payment for Services Attachment 4.19B Part 1 | dhcf,/node/192772,60,34,1.7647058823529411,21.38235294117647,207,0,0
"Melisa Byrd, Senior Deputy Director / Medicaid Director, DHCF | dhcf",/node/1391236,59,54,1.0925925925925926,19.444444444444443,169,0,0
Americans with Disabilities Act Information | dhcf,/page/americans-disabilities-act-information,58,48,1.2083333333333333,33.6875,173,0,0
"Amount, Duration and Scope of Services Attachment 3.1A | dhcf",/node/192192,57,43,1.3255813953488371,3.883720930232558,177,0,0
Public Forum on Integrated Care | dhcf,/page/public-forum-on-integrated-care,56,45,1.2444444444444445,29.977777777777778,191,0,0
"Transmittal 24-08 - Reimbursement Rate Changes for Behavioral Health Services Effective February 1, 2024 | dhcf",/publication/transmittal-24-08-reimbursement-rate-changes-behavioral-health-services-effective,56,44,1.2727272727272727,9.681818181818182,189,0,0
"Transmital 22-34 - Doula Benefit, Provider Qualifications and Enrollment, Rates and Reimbursement Standards | dhcf",/publication/transmital-22-34-doula-benefit-provider-qualifications-and-enrollment-rates-and,55,23,2.391304347826087,8.826086956521738,159,0,0
