# ----------------------------------------
# Pages and screens: Page path and screen class
# Account: dc.gov
# Property: dcgov GA4
# ----------------------------------------
# 
# Hostname exactly matches ouc.dc.gov
# Start date: 20250916
# End date: 20251216
Page title and screen class,Page path and screen class,Views,Active users,Views per active user,Average engagement time per active user,Event count,Key events,Total revenue
911 Education | OUC,/page/911-education,14,13,1.0769230769230769,27.307692307692307,91,0,0
311 Hits Million Mark for 2008 | OUC,/release/311-hits-million-mark-2008,13,9,1.4444444444444444,3.3333333333333335,53,0,0
Incident Tactical Dispatch (INTD) Training Class | OUC,/event/incident-tactical-dispatch-intd-training-class,13,10,1.3,30.5,49,0,0
Korean (한국어) | OUC,/page/korean1-한국어,13,13,1,6.846153846153846,51,0,0
OUC Statement on New Dashboard – September 8 | OUC,/release/ouc-statement-new-dashboard-–-september-8,13,13,1,2.230769230769231,51,0,0
The Department of General Services (DGS) is now apart of the 311 system | OUC,/page/department-general-services-dgs-now-apart-311-system,13,9,1.4444444444444444,38.22222222222222,36,0,0
"Washington, DC Office of Unified Communications Modernizes its 311 System on Salesforce | OUC",/release/washington-dc-office-unified-communications-modernizes-its-311-system-salesforce,13,12,1.0833333333333333,3.3333333333333335,50,0,0
Amharic (አማርኛ) | OUC,/page/amharic1-አማርኛ-,12,12,1,13.666666666666666,46,0,0
Confirmation Resolution for Acting OUC Director Karima Holmes Draws Broad Support | OUC,/release/confirmation-resolution-acting-ouc-director-karima-holmes-draws-broad-support,12,11,1.0909090909090908,6.454545454545454,41,0,0
OUC Statement on Radio Interference | OUC,/release/ouc-statement-radio-interference,12,9,1.3333333333333333,44,34,0,0
Smart911 - Français | OUC,/publication/smart911-français,12,11,1.0909090909090908,1.7272727272727273,51,0,0
We are sorry; the page you requested is no longer available. | OUC,/page/french-français-1,12,10,1.2,2.1,49,0,0
We are sorry; the page you requested is no longer available. | OUC,/release/testimony-acting-director-karima-holmes-public-oversight-roundtable-9-1-1-operations-office,12,13,0.9230769230769231,2.230769230769231,53,0,0
Karima Holmes is Confirmed as Director of the Office of Unified Communications | OUC,/release/karima-holmes-confirmed-director-office-unified-communications,11,10,1.1,5.4,45,0,0
Make the Right Call | OUC,/es/maketherightcall,11,10,1.1,13.9,37,0,0
New Call Takers Join OUC Staff | OUC,/release/new-call-takers-join-ouc-staff,11,10,1.1,0.9,47,0,0
News Room | Page 3 | OUC,/newsroom,11,8,1.375,4.25,39,0,0
OUC Statement on the Launch of PowerPhone | OUC,/release/ouc-statement-launch-powerphone,11,9,1.2222222222222223,12,40,0,0
Page not found | OUC,/page/cmlnaHQtY2,11,11,1,14.272727272727273,25,0,0
THOR FAQs | OUC,/publication/thor-faqs,11,10,1.1,3.4,26,0,0
Unified Communications Center Photo Gallery | OUC,/page/unified-communications-center-photo-gallery,11,11,1,3.6363636363636362,38,0,0
We Answer The Call | OUC,/vi/node/1594706,11,10,1.1,15.5,32,0,0
We are sorry; the page you requested is no longer available. | OUC,/page/911-performance-statistics,11,11,1,48.45454545454545,35,0,0
We are sorry; the page you requested is no longer available. | OUC,/page/who-we-are0,11,11,1,1.3636363636363635,42,0,0
| Page 2 | OUC,/node,11,12,0.9166666666666666,2.75,49,0,0
| Page 4 | OUC,/node,11,11,1,2.3636363636363638,48,0,0
Events | OUC,/calendar/month/2025-04,10,10,1,22.2,42,0,0
Mayor Bowser to Announce Life-Saving Technologies for DC Residents | OUC,/release/mayor-bowser-announce-life-saving-technologies-dc-residents,10,10,1,2.8,42,0,0
OUC Information Technology | OUC,/am/page/ouc-information-technology,10,10,1,13.3,31,0,0
OUC Opens Call Simulation Lab | OUC,/release/ouc-opens-call-simulation-lab,10,10,1,11,40,0,0
Office of Unified Communications named 9-1-1 Center of the Year by DATAMARK Technologies | OUC,/release/office-unified-communications-named-9-1-1-center-year-datamark-technologies,10,8,1.25,21.375,24,0,0
| Page 8 | OUC,/node,10,11,0.9090909090909091,2.4545454545454546,41,0,0
911 Call Taker’s Actions Helps Save Woman’s Life | OUC,/release/911-call-taker’s-actions-helps-save-woman’s-life,9,8,1.125,5.75,28,0,0
911 and 311 Industry News | OUC,/ar/node/1647446,9,8,1.125,11.5,31,0,0
DC Agencies Partner with DC311 Call Center to Raise Awareness About Pandemic Relief for Utility Consumers | OUC,/release/dc-agencies-partner-dc311-call-center-raise-awareness-about-pandemic-relief-utility,9,9,1,27.444444444444443,36,0,0
District Integrates 311-Service Request System with SeeClickFix | OUC,/release/district-integrates-311-service-request-system-seeclickfix,9,8,1.125,3.5,34,0,0
Incident Tactical Dispatch (INTD) Training Class | 4 Day Training | OUC,/event/incident-tactical-dispatch-intd-training-class-4-day-training,9,7,1.2857142857142858,13,29,0,0
"Mayor Bowser Launches Text to 911 in Washington, DC | OUC",/release/mayor-bowser-launches-text-911-washington-dc,9,9,1,2.4444444444444446,22,0,0
