# ----------------------------------------
# Pages and screens: Page path and screen class
# Account: dc.gov
# Property: dcgov GA4
# ----------------------------------------
# 
# Hostname exactly matches octo.dc.gov
# Start date: 20250916
# End date: 20251216
Page title and screen class,Page path and screen class,Views,Active users,Views per active user,Average engagement time per active user,Event count,Key events,Total revenue
"Washington, DC Recognized as One of the Nation's Digital Inclusion Trailblazers for the Seventh Consecutive Year | octo",/release/washington-dc-recognized-one-nations-digital-inclusion-trailblazers-seventh-consecutive-year,30,22,1.3636363636363635,42.68181818181818,90,0,0
We are sorry; the page you requested is no longer available. | octo,/page/replace-lost-dc-one-card,30,23,1.3043478260869565,10.08695652173913,72,0,0
Agency Management Program | octo,/page/agency-management-program,29,27,1.0740740740740742,28.25925925925926,72,0,0
Category Contents | octo,/external-link/category-contents,29,27,1.0740740740740742,0.48148148148148145,125,0,0
Information Security | octo,/page/information-security,29,28,1.0357142857142858,10.428571428571429,88,0,0
Information System Change Control Policy | octo,/publication/information-system-change-control-policy,29,25,1.16,20.52,100,0,0
International Travel Policy for Mobile Computing Devices | octo,/node/1285206,29,20,1.45,44.8,102,0,0
Password Management Policy | octo,/publication/octo-password-management-policy,29,22,1.3181818181818181,27,96,0,0
GovDelivery Governance and User Guide | octo,/publication/govdelivery-governance-and-user-guide,28,23,1.2173913043478262,7.478260869565218,103,0,0
Internet Access and Use Policy | octo,/page/internet-access-and-use-policy,28,26,1.0769230769230769,39.76923076923077,93,0,0
We’re in a digital world. DC is ensuring its residents have a fair shot. | octo,/blog/we’re-digital-world-dc-ensuring-its-residents-have-fair-shot,28,25,1.12,18,91,0,0
Compliance Policy | octo,/node/1523511,27,24,1.125,33.416666666666664,85,0,0
First Responders | octo,/page/first-responders,27,24,1.125,11.458333333333334,96,0,0
OCTO and DC Fire and EMS Team Winner of 22nd Annual Cafritz Team Innovation Award | octo,/release/octo-and-dc-fire-and-ems-team-winner-22nd-annual-cafritz-team-innovation-award,27,25,1.08,12.4,93,0,0
Access Control Policy | octo,/publication/access-control-policy,26,24,1.0833333333333333,21.75,98,0,0
Compliance Policy | octo,/publication/compliance-policy,26,17,1.5294117647058822,46.588235294117645,70,0,0
District Government Web Style and Standards | octo,/node/706982,26,24,1.0833333333333333,15.333333333333334,65,0,0
Mayor Bowser Signs Order Defining DC’s AI Values and AI Strategic Plan | octo,/release/mayor-bowser-signs-order-defining-dc’s-ai-values-and-ai-strategic-plan,26,21,1.2380952380952381,22.142857142857142,65,0,0
Physical Access Security Policy | octo,/publication/physical-access-security-policy,26,24,1.0833333333333333,1.5833333333333333,79,0,0
Risk Assessment Policy | octo,/node/1523606,26,14,1.8571428571428572,75.07142857142857,84,0,0
Blog Comments Policy | octo,/blog/blog-comments-policy,25,17,1.4705882352941178,15.411764705882353,90,0,0
Configuration Management Policy | octo,/node/1523521,25,17,1.4705882352941178,27.764705882352942,77,0,0
We are sorry; the page you requested is no longer available. | octo,/page/residents-resource-center,25,20,1.25,2.55,110,0,0
