# Hostname exactly matches dpr.dc.gov,,
# Start date: 20250916,,
# End date: 20251216,,
,,
Page title and screen class,Page path and screen class,Views
Apply for a Permit | dpr,/fr/permits,2
Apply for a Permit | dpr,/node/496492,478
Apply for a Permit | dpr,/permits,7510
Aqua Day Camp | dpr,/node/1527696,1
Aqua Day Camp | dpr,/page/aqua-day-camp,25
Aquatics - Aqua Day Camp Asst Facilitator | dpr,/publication/aquatics-aqua-day-camp-asst-facilitator,4
Aquatics - Customer Service Representative (CSR) | dpr,/publication/aquatics-customer-service-representative-csr,11
Aquatics Admission and Fees | dpr,/es/page/aquatics-admission-and-fees,20
Aquatics Admission and Fees | dpr,/node/536962,370
Aquatics Admission and Fees | dpr,/page/aquatics-admission-and-fees,832
Aquatics for Teens | dpr,/page/aquatics-teens,49
Aquatics Maintenance Closure - Deanwood Aquatic Center | dpr,/fr/event/aquatics-maintenance-closure-deanwood-aquatic-center,1
Aquatics Maintenance Closure - Deanwood Aquatic Center | dpr,/node/1106631/page_view_event/aggregate,1
Aquatics Permit Rules and Regulations | dpr,/fr/node/1250641,5
Aquatics Permit Rules and Regulations | dpr,/node/1250641,11
Aquatics Permit Rules and Regulations | dpr,/page/aquatics-permit-rules-and-regulations,108
Arboretum Community Center | dpr,/arboretum,654
Arboretum Community Center | dpr,/page/arboretum-community-center-00,3
Arthur Capper Community Center | dpr,/arthurcapper,825
Arthur Capper Community Center | dpr,/node/1377356,91
Arthur Capper Community Center | dpr,/page/arthur-capper-community-center,4
Arts and Crafts - Macomb Recreation Center | dpr,/event/arts-and-crafts-macomb-recreation-center,1
"As DCPS Goes on February Break, DPR to Offer Daytime and Evening Programming for Students | dpr",/release/dcps-goes-february-break-dpr-offer-daytime-and-evening-programming-students,2
"As DCPS Goes on Spring Break, the District to Offer Daytime and Evening Programming for Students | dpr",/release/dcps-goes-spring-break-district-offer-daytime-and-evening-programming-students,3
Ashley Williams | dpr,/biography/ashley-williams-0,43
Ashley Williams | dpr,/node/1730901,91
Ask the Director - DPR | dpr,/external-link/ask-director-dpr,45
Aspiring Young Men - Turkey Thicket Recreation Center | dpr,/event/aspiring-young-men-turkey-thicket-recreation-center,2
Athletic Fields & Courts | dpr,/am/page/athletic-fields-courts,4
Athletic Fields & Courts | dpr,/es/page/athletic-fields-courts,1
Athletic Fields & Courts | dpr,/page/athletic-fields-courts,1751
Athletic Fields & Courts | dpr,/vi/page/athletic-fields-courts,2
Attend Events | dpr,/ar/service/attend-events,1
Attend Events | dpr,/es/service/attend-events,4
Attend Events | dpr,/service/attend-events,2339
Awards | dpr,/page/awards-0,8
Awesome Events at DPR in August | dpr,/release/awesome-events-dpr-august,15
Back to School Open House | dpr,/event/back-school-open-house,4
Bald Eagle Recreation Center | dpr,/baldeagle,872
Bald Eagle Recreation Center | dpr,/node/1237416,67
Bald Eagle Recreation Center | dpr,/page/bald-eagle-recreation-center,1
Bald Eagle Recreation Center Modernization | dpr,/page/bald-eagle-recreation-center-modernization,17
Ballou Aquatic Center | dpr,/node/1708471,47
Ballou Aquatic Center | dpr,/page/ballou-aquatic-center,131
"Banneker and Joe Cole Recreation Centers Closed for Friday, February 14 | dpr",/release/banneker-and-joe-cole-recreation-centers-closed-friday-february-14,1
Banneker Community Center | dpr,/page/banneker-community-center,8
Banneker Diving Board | dpr,/node/1728226,5
Banneker Diving Board | dpr,/release/banneker-diving-board,5
Banneker Pool | dpr,/page/banneker-pool,381
Banneker Premier Athletic Field | dpr,/page/banneker-premier-athletic-field,169
Banneker Recreation Center | dpr,/banneker,1056
Banneker Recreation Center | dpr,/node/497612,4
Banneker Recreation Center | dpr,/page/banneker-recreation-center,128
Banneker Recreation Center to Temporarily Close for Caribbean Carnival | dpr,/release/banneker-recreation-center-temporarily-close-caribbean-carnival,1
Banneker Recreation Center to Temporarily Close for Maintenance | dpr,/release/banneker-recreation-center-temporarily-close-maintenance,1
Banneker Tennis Court Lights | dpr,/page/banneker-tennis-court-lights-0,23
"Banneker, Francis, Upshur, Rosedale & Oxon Run Pools Close for the Season | dpr",/event/banneker-francis-upshur-rosedale-oxon-run-pools-close-season,2
Barry Farm 2016 Spring Calendar | dpr,/publication/barry-farm-2016-spring-calendar,4
Barry Farm Aquatic Center | dpr,/page/barry-farm-aquatic-center,935
Barry Farm Recreation Center | dpr,/BarryFarm,1227
Barry Farm Recreation Center | dpr,/node/1237456,79
Barry Farm Recreation Center | dpr,/page/barry-farm-recreation-center-00,1
Barry Farm Recreation Center Temporarily Closed | dpr,/release/barry-farm-recreation-center-temporarily-closed,1
"Barry Farm Recreation Center to Receive New Basketball Court Courtesy of Nike, Inc. | dpr",/release/barry-farm-recreation-center-receive-new-basketball-court-courtesy-nike-inc,7
Barry Farm Spring Summer Programs 2016 - Barry Farm Recreation Center | dpr,/ar/event/barry-farm-spring-summer-programs-2016-barry-farm-recreation-center,1
Basketball Banquet - Turkey Thicket Recreation Center | dpr,/event/basketball-banquet-turkey-thicket-recreation-center,2
B-Ball Spring Tournament - Kennedy Recreation Center | dpr,/event/b-ball-spring-tournament-kennedy-recreation-center,2
Beacon House Falcons (DC) vs.Liberty City Warriors (FL) at the 57th Annual Pop Warner Super Bowl | dpr,/event/beacon-house-falcons-dc-vsliberty-city-warriors-fl-57th-annual-pop-warner-super-bowl,2
Become a DPR Lifeguard! | dpr,/lifeguard,612
Become a DPR Lifeguard! | dpr,/page/become-dpr-lifeguard,1
Become a Sponsor | dpr,/am/service/become-sponsor,6
Become a Sponsor | dpr,/ar/service/become-sponsor,2
Become a Sponsor | dpr,/fr/service/become-sponsor,4
Become a Sponsor | dpr,/ko/service/become-sponsor,3
Become a Sponsor | dpr,/service/become-sponsor,54
Benning Park Community Center Closed Due to Power Outage | dpr,/release/benning-park-community-center-closed-due-power-outage,2
Benning Park Community Center Facilities Closure | dpr,/release/benning-park-community-center-facilities-closure,1
Benning Park Community Center Temporarily Closed | dpr,/release/benning-park-community-center-temporarily-closed,2
Benning Park Community Meeting - Benning Park Recreation Center | dpr,/event/benning-park-community-meeting-benning-park-recreation-center-0,2
Benning Stoddert Recreation Center | dpr,/benningstoddert,637
Benning Stoddert Recreation Center | dpr,/node/1237501,728
Benning Stoddert Recreation Center | dpr,/page/benning-stoddert-recreation-center-0,1
