# Hostname exactly matches dhcf.dc.gov,,
# Start date: 20250916,,
# End date: 20251216,,
,,
Page title and screen class,Page path and screen class,Views
Audit Timeline | dhcf,/page/audit-timeline,12
August 2020 Second Public Roundtable on Proposed MCO Contracts | dhcf,/release/august-2020-second-public-roundtable-proposed-mco-contracts,6
August MCAC Eligibility and Enrollment Subcommittee Meeting | dhcf,/node/1552421,3
August Monthly Meeting | dhcf,/page/august-monthly-meeting,3
Authority of Program Integrity to Investigate/Review Medicaid | dhcf,/am/page/authority-program-integrity-investigatereview-medicaid,2
Authority of Program Integrity to Investigate/Review Medicaid | dhcf,/fr/page/authority-program-integrity-investigatereview-medicaid,6
Authority of Program Integrity to Investigate/Review Medicaid | dhcf,/page/authority-program-integrity-investigatereview-medicaid,34
Authorization for Release of Medical Records | dhcf,/node/912562,15
Authorization for Release of Medical Records | dhcf,/publication/authorization-release-medical-records,98
Authorization for Use and Disclosure of Private/Protected Health Information | dhcf,/node/911252,1
Authorization for Use and Disclosure of Private/Protected Health Information | dhcf,/publication/authorization-use-and-disclosure-privateprotected-health-information,9
Authorized Representative Form - Spanish | dhcf,/node/911232,4
Authorized Representative Form | dhcf,/node/911212,17
Authorized Representative Form | dhcf,/publication/authorized-representative-form,166
Becoming an EPD Waiver Provider | dhcf,/page/becoming-epd-waiver-provider,242
Becoming an EPD Waiver Provider | dhcf,/page/becoming-epd-waiver-providers,5
Behavioral (Mental Health) Services | dhcf,/node/289082,17
Behavioral (Mental Health) Services | dhcf,/page/behavioral-mental-health-services,511
Behavioral Health Integration | dhcf,/node/1679336,0
Behavioral Health Integration | dhcf,/page/behavioral-health-integration,225
Behavioral Health Integration | dhcf,/page/behavioral-health-integration/,2
Behavioral Health Integration | dhcf,/vi/node/1679336,1
Behavioral Health Transformation 1115 Waiver | dhcf,/page/behavioral-health-transformation-1115-waiver,37
Behavioral Support Services Final Rulemaking for Participant in the Home and Community Based Services Waiver for Individual with Intellectual and Development Disabilities | dhcf,/node/1068452,6
Behavioral Support Services Final Rulemaking for Participant in the Home and Community Based Services Waiver for Individual with Intellectual and Development Disabilities | dhcf,/publication/behavioral-support-services-final-rulemaking-participant-home-and-community-based,2
Behavioral Support Services Notice of Final Rulemaking | dhcf,/node/1155482,2
Behavioral Support Services Notice of Final Rulemaking | dhcf,/publication/behavioral-support-services-notice-final-rulemaking,4
Benefits of Health Information Exchange | dhcf,/page/benefits-health-information-exchange,95
Benjamin Ebeigbe | dhcf,/biography/benjamin-ebeigbe,64
Benjamin Ebeigbe | dhcf,/biography/katherine-rogers,3
Bill of Rights - Amendment - Act of 2011 | dhcf,/node/912582,12
Bill of Rights - DC ACT 12-607 | dhcf,/node/912542,32
Bill of Rights - DC ACT 12-607 | dhcf,/publication/bill-rights-dc-act-12-607,7
Billing Guidance for Medicaid Section 1115 Behavioral Health Transformation Demonstration Services | dhcf,/publication/billing-guidance-medicaid-section-1115-behavioral-health-transformation-demonstration,1
"Board Approved Bylaws - October 17, 2012 | dhcf",/node/367482,0
"Board Approved Bylaws - October 17, 2012 | dhcf",/publication/board-approved-bylaws-october-17-2012,3
Board Meeting Archives | dhcf,/page/board-meeting-archives,1
Bowser Administration Announces Launch of My Health GPS | dhcf,/release/bowser-administration-announces-launch-my-health-gps,2
Bowser Administration Announces Release of Site Study for New Acute Care Hospital | dhcf,/release/bowser-administration-announces-release-site-study-new-acute-care-hospital,1
Breastfeeding | dhcf,/node/210182,8
Breastfeeding | dhcf,/page/breastfeeding,12
