# ----------------------------------------
# Pages and screens: Page path and screen class
# Account: dc.gov
# Property: dcgov GA4
# ----------------------------------------
# 
# Hostname exactly matches otr.cfo.dc.gov
# Start date: 20250916
# End date: 20251216
Page title and screen class,Page path and screen class,Views,Active users,Views per active user,Average engagement time per active user,Event count,Key events,Total revenue
Office of Tax and Revenue Reports Significant Decline in District of Columbia Commercial Real Estate Value in Tax Year 2026 Assessment | otr,/release/office-tax-and-revenue-reports-significant-decline-district-columbia-commercial-real-estate,352,349,1.008595988538682,3.6246418338108883,727,0,0
Corporation Tax TDI FAQs | otr,/page/corporation-tax-tdi-faqs,351,290,1.210344827586207,28.96896551724138,1265,0,0
Withholding Tax Forms | otr,/node/1697946,351,265,1.3245283018867924,37.31698113207547,1111,0,0
Individual Income Tax Payment-Refund FAQs | otr,/page/individual-income-tax-payment-refund-faqs,347,264,1.3143939393939394,21.625,1046,0,0
Real Property Assessment Process | otr,/node/388692,344,281,1.2241992882562278,23.12099644128114,917,0,0
2023 D-20 | otr,/publication/2023-d-20,343,285,1.2035087719298245,7.940350877192983,1224,0,0
2024 D-40B | otr,/node/1758606,337,279,1.2078853046594982,4.275985663082437,858,0,0
Motor Vehicle Fuel Tax | otr,/page/motor-vehicle-fuel-tax,336,228,1.4736842105263157,50.76315789473684,1127,0,0
We are sorry; the page you requested is no longer available. | otr,/page/business-tax-forms-and-publications-2025-tax-filing-season-tax-year-2024,335,226,1.4823008849557522,1.8495575221238938,762,0,0
OTR Leadership Team | otr,/biography/otr-leadership-team,334,254,1.31496062992126,68.23228346456693,1047,0,0
